,priceCashFlowRatio,priceEarningsRatio,priceEarningsToGrowthRatio,priceBookValueRatio,currentRatio,quickRatio,payoutRatio,Class
423,4.634815899812599,7.4095,7.4089239923281,1.3588,0.6890000000000001,0.5671267042033199,0.0,1
424,3.7598191456552006,0.0,47.51407396171606,0.1519,1.803,1.5759829473782,0.0,0
426,7.471595082981301,14.8696,14.434502638578,2.4267,1.996,1.0137998973664,0.435,0
428,8.0067251121076,19.9474,19.823152894528,2.0721,0.6940000000000001,0.41457399103139,0.615,1
430,12.5939021875,24.7619,24.277401807228998,0.0,1.764,1.2287104622871,0.35600000000000004,1
434,3.2596357896859995,9.8277,9.6688028611461,0.8381,1.04,0.6992534790759,0.42,1
435,15.626430157893,25.3333,25.229169216274,2.5077,1.791,0.9711758360302,0.287,1
437,17.651934378564,18.075,18.014387431137,2.38,1.5630000000000002,1.4314136125654,0.206,1
439,14.616975402843002,13.8756,13.756125132481001,3.9684,1.234,0.7665377569713001,0.32,1
441,9.022114422057301,13.6696,13.547538057325001,1.8538,2.0612244897959,1.7304421768707,0.522,1
445,4.9560242801076,8.22,7.9463888308285,2.2204,1.49,0.8755858542820601,0.392,1
448,4.1647292680078,5.0214,4.7716496135969,4.7614,1.927,1.2065535400819,0.149,0
449,3.4413248239437,4.6361,4.57768735363,1.4664,1.664,1.0154550658271,0.136,1
452,6.1576556317336,8.0507,7.966252407501299,1.8338,4.912,3.8396946564885,0.188,1
453,9.1644309014479,20.4264,19.62104656,5.448,1.257,0.5349878470001299,0.408,1
457,12.819314836018,15.6771,15.679195048509,1.2493,1.842,1.3473161078926998,0.021,1
460,10.21806755554,28.5714,28.480053124843,1.0399,1.82,1.5998064360029,0.0,1
466,8.3397601256485,5.1563,5.1602526724976,1.4876,2.463,1.4077143483307002,0.0,1
467,5.9204824223624,8.5694,8.5501203269172,0.0,2.352,0.34160061729777,0.0,1
474,18.048044749365,7.9277,7.758571128463499,0.9422,0.14285591159459002,0.12530435451361,0.289,1
476,17.506125431937,17.5454,22.367930790605,3.1551,1.297,0.38077877437961,0.0,1
477,8.0286471946167,7.7402,8.9839367995755,1.0967,1.039,0.96976401179941,0.0,0
478,4.0339620013825,28.4737,27.752214140849,0.4906,2.355,2.0854257185829,0.0,1
479,10.458613670412001,22.7413,22.621833098659,2.9483,0.575,0.43154564849555,0.454,1
